iter	 posterior	 likelihood	 prior	 mu_pandas	 sigma_pandas 	 mu_bears 	 sigma_bears 	 alpha 	 beta 	 mu_diff
27	0.17418455657194443	-62.610280689217134	-25.091666247226133	82.65484808349643	10.698222263863677	72.30373962465703	9.640271854091287	1.1092566312131646	0.13304860935275487	10.351108458839406
28	0.17418455657194443	-62.610280689217134	-25.091666247226133	82.65484808349643	10.698222263863677	72.30373962465703	9.640271854091287	1.1092566312131646	0.13304860935275487	10.351108458839406
29	0.17418455657194443	-62.610280689217134	-25.091666247226133	82.65484808349643	10.698222263863677	72.30373962465703	9.640271854091287	1.1092566312131646	0.13304860935275487	10.351108458839406
30	-0.07748619616899077	-62.78163465034474	-24.99779848226751	83.21350453384636	10.442966508152983	73.48088894083773	8.695717201489687	1.2105746502987174	0.177820678923989	9.732615593008632
31	-0.07244572125340198	-62.14554448786566	-25.706334366	82.87677109886813	10.583159115339832	73.69616603421291	9.578541630846544	1.0537448603417374	0.20625305923078585	9.180605064655225
32	-0.07244572125340198	-62.14554448786566	-25.706334366	82.87677109886813	10.583159115339832	73.69616603421291	9.578541630846544	1.0537448603417374	0.20625305923078585	9.180605064655225
33	-0.7940771889029179	-63.03554828090536	-25.610407761863215	83.74820904980956	9.899303140712378	71.96247882170738	10.175421489332496	0.6882867361402507	0.04752515055443696	11.785730228102182
34	-0.7940771889029179	-63.03554828090536	-25.610407761863215	83.74820904980956	9.899303140712378	71.96247882170738	10.175421489332496	0.6882867361402507	0.04752515055443696	11.785730228102182
35	1.6229252200427169	-61.559389288179375	-25.463641534546483	85.65410223194365	10.035620541353428	69.98443435993867	10.217064437722286	0.8987812188734983	0.13816072218019837	15.669667872004979
36	1.6229252200427169	-61.559389288179375	-25.463641534546483	85.65410223194365	10.035620541353428	69.98443435993867	10.217064437722286	0.8987812188734983	0.13816072218019837	15.669667872004979
37	1.6229252200427169	-61.559389288179375	-25.463641534546483	85.65410223194365	10.035620541353428	69.98443435993867	10.217064437722286	0.8987812188734983	0.13816072218019837	15.669667872004979
38	1.6229252200427169	-61.559389288179375	-25.463641534546483	85.65410223194365	10.035620541353428	69.98443435993867	10.217064437722286	0.8987812188734983	0.13816072218019837	15.669667872004979
39	1.6229252200427169	-61.559389288179375	-25.463641534546483	85.65410223194365	10.035620541353428	69.98443435993867	10.217064437722286	0.8987812188734983	0.13816072218019837	15.669667872004979
40	1.6229252200427169	-61.559389288179375	-25.463641534546483	85.65410223194365	10.035620541353428	69.98443435993867	10.217064437722286	0.8987812188734983	0.13816072218019837	15.669667872004979
41	1.6229252200427169	-61.559389288179375	-25.463641534546483	85.65410223194365	10.035620541353428	69.98443435993867	10.217064437722286	0.8987812188734983	0.13816072218019837	15.669667872004979
42	1.6229252200427169	-61.559389288179375	-25.463641534546483	85.65410223194365	10.035620541353428	69.98443435993867	10.217064437722286	0.8987812188734983	0.13816072218019837	15.669667872004979
43	-1.0011995667234856	-60.011292328005084	-28.012938061444263	87.00249334264767	10.282660033939495	69.38966567033106	10.511450128340089	0.6495432910335397	0.26448242629607177	17.612827672316612
44	-1.0011995667234856	-60.011292328005084	-28.012938061444263	87.00249334264767	10.282660033939495	69.38966567033106	10.511450128340089	0.6495432910335397	0.26448242629607177	17.612827672316612
